% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.375       2.3876104       50.545241       34.853061
0.375       2.4504423       48.688098       36.293303
0.375       2.5132741       47.491954       38.195296
0.375       2.5761060       45.192154       39.140330
0.375       2.6389378       44.487174       41.418327
0.375       2.7017697       42.655740       42.617965
0.375       2.7646015       41.936536       44.891120
0.375       2.8274334       39.995125       45.798839
0.375       2.8902652       38.310008       46.859279
0.375       2.9530971       37.735942       49.233264
0.375       3.0159289       36.563970       50.814413
0.375       3.0787608       34.856057       51.531925
0.375       3.1415927       34.317623       53.905996
0.375       3.2044245       32.673761       54.465253
0.375       3.2672564       31.824803       56.232271
0.375       3.3300882       31.233535       58.433057
0.375       3.3929201       30.083266       59.527293
0.375       3.4557519       29.865263       62.440198
0.375       3.5185838       28.823319       63.608906
0.375       3.5814156       27.977342       65.108978
0.375       3.6442475       26.873622       65.890082
0.375       3.7070793       26.258843       67.770624
0.375       3.7699112       25.465291       69.121357
0.375       3.8327430       24.644104       70.293051
0.375       3.8955749       24.365644       72.973107
0.375       3.9584067       23.824958       74.862383
0.375       4.0212386       23.206388       76.446454
0.375       4.1469023       21.854082       78.954017
0.375       4.2725660       20.637176       81.543036
0.375       4.3982297       19.805692       85.367784
0.375       4.5238934       18.786151       88.114051
0.375       4.6495571       17.909762       91.200002
0.375       4.7752208       17.090092       94.274672
0.375       4.9008845       16.583355       98.893118
0.375       5.0265482       15.845634       101.95052
0.375       5.1522120       15.093930       104.58123
0.375       5.2778757       14.390376       107.18151
0.375       5.4035394       13.912057       111.19790
0.375       5.5292031       13.576577       116.26478
0.375       5.6548668       13.060979       119.65012
0.375       5.7805305       12.563558       122.93796
0.375       5.9061942       12.081464       126.09939
0.375       6.0318579       11.655253       129.58218
0.375       6.1575216       11.188063       132.32534
0.375       6.2831853       10.958556       137.70927
0.375       6.4088490       10.555277       140.76025
0.375       6.5345127       10.234499       144.66933
0.375       6.6601764       9.7214191       145.49803
0.375       6.7858401       9.3991839       148.78915
0.375       6.9115038       9.2105957       154.05494
0.375       7.0371675       8.9478313       157.97258
0.375       7.1628313       8.5826522       159.78865
0.375       7.2884950       8.3929622       164.62625
0.375       7.4141587       8.1857896       169.01158
0.375       7.5398224       7.8611228       170.70183
0.375       7.6654861       7.6345930       174.21087
0.375       7.7911498       7.3993084       177.28257
0.375       7.9168135       7.2634253       182.58411
0.375       8.0424772       7.0455413       185.67530
0.375       8.2938046       6.5885492       190.42390
0.375       8.5451320       6.3813732       201.71618
0.375       8.7964594       5.9577976       205.43750
